CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO
LWL;1.000;0.771;0.835;0.032
IBk;1.000;1.000;1.000;0.023
HoeffdingTree;0.452;0.529;0.356;0.036
KStar;1.000;0.771;0.835;0.032
StochasticGradientDescend;0.290;0.714;0.244;0.054
NaiveBayesUpdateable;0.950;0.321;0.419;0.047


VALIDITY RATIO
min;0.000244
avg;0.033165
max;0.157227

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO
Combinatorial[0];0.876;0.757;0.738;0.033

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO
Loja Virtual;0.769;0.832;0.694;0.028
CCCMS;0.843;0.997;0.863;0.059
Bicis_Feature_Model;1.000;1.000;1.000;0.007
Phone sple;0.819;0.779;0.781;0.027
test gv;1.000;0.780;0.819;0.032
SmartHome- Simplified Sample;1.000;0.455;0.538;0.005
UPL;1.000;0.614;0.728;0.009
SmartHome_vConejero_r1;1.000;1.000;1.000;0.001
CFDP Library;0.889;0.700;0.730;0.058
ordem;1.000;0.684;0.721;0.028
Text Editor;0.503;0.958;0.505;0.003
KIModel;0.501;0.769;0.502;0.002
AA;1.000;0.804;0.885;0.017
Prontuário Eletrônico de Pacientes;1.000;0.818;0.895;0.011
AvionFEatures;0.784;0.596;0.584;0.013
test_fm;1.000;1.000;1.000;0.002
CIMS PL;1.000;1.000;1.000;0.002
VODPlayer;1.000;0.986;0.993;0.048
isolation;1.000;1.000;1.000;0.004
Example Mobile Phone;1.000;0.422;0.490;0.015
desordem;1.000;0.684;0.721;0.028
rtrt;1.000;0.680;0.733;0.020
RE;0.826;0.706;0.734;0.012
Computer Selection;1.000;1.000;1.000;0.003
MyFM;1.000;1.000;1.000;0.020
MyFeatureModel;1.000;0.542;0.669;0.018
Mobile Game;0.967;0.714;0.784;0.133
Mobile Phone, until relase 5;1.000;1.000;1.000;0.001
SAL;0.501;0.538;0.502;0.013
Doorlopende reisverzekering;1.000;0.769;0.795;0.016
WB2;0.749;0.616;0.651;0.049
VOD feature model;1.000;0.980;0.990;0.016
Asghar;1.000;0.636;0.750;0.016
FM1;0.500;0.750;0.500;0.000
Mauricio Alférez;1.000;0.455;0.538;0.005
MobileMedia;1.000;0.767;0.802;0.028
Phone;1.000;0.803;0.846;0.046
MiniRPG;0.501;0.647;0.501;0.002
IntelligentTutoringSystem;0.684;0.747;0.557;0.021
IDE4OCL;0.503;0.992;0.507;0.004
ETRobocon;0.699;0.988;0.723;0.059
G10-music player;0.604;0.803;0.586;0.008
aaaaaa;1.000;1.000;1.000;0.008
E-portal;0.750;0.382;0.441;0.008
carpl;1.000;1.000;1.000;0.003
Ökonomische Merkmale;0.938;0.700;0.758;0.024
FeatureModel1;1.000;0.961;0.980;0.017
Simnumero;1.000;1.000;1.000;0.009
WebApp;0.996;0.807;0.864;0.157
