CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
Logistic;Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
Logistic;Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
Logistic;Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
Logistic;Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
Logistic;Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
Logistic;Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
Logistic;Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
Logistic;Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
Logistic;Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
Logistic;Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
Logistic;Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
JRip;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
JRip;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
JRip;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
JRip;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
JRip;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
JRip;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
JRip;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
JRip;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
JRip;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
JRip;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
JRip;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
PART;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
PART;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
PART;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
PART;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
PART;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
PART;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
PART;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
PART;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
PART;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
PART;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
PART;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
Logistic;Combinatorial[0];Phone sple;4;0;23;997;1.000;0.148;0.258
Logistic;Combinatorial[0];Phone sple;4;0;23;997;1.000;0.148;0.258
Logistic;Combinatorial[0];Phone sple;4;0;23;997;1.000;0.148;0.258
Logistic;Combinatorial[0];Phone sple;4;0;23;997;1.000;0.148;0.258
Logistic;Combinatorial[0];Phone sple;4;0;23;997;1.000;0.148;0.258
Logistic;Combinatorial[0];Phone sple;4;0;23;997;1.000;0.148;0.258
Logistic;Combinatorial[0];Phone sple;4;0;23;997;1.000;0.148;0.258
Logistic;Combinatorial[0];Phone sple;4;0;23;997;1.000;0.148;0.258
Logistic;Combinatorial[0];Phone sple;4;0;23;997;1.000;0.148;0.258
Logistic;Combinatorial[0];Phone sple;4;0;23;997;1.000;0.148;0.258
Logistic;Combinatorial[0];Phone sple;4;0;23;997;1.000;0.148;0.258
JRip;Combinatorial[0];Phone sple;27;0;0;997;1.000;1.000;1.000
JRip;Combinatorial[0];Phone sple;27;0;0;997;1.000;1.000;1.000
JRip;Combinatorial[0];Phone sple;27;0;0;997;1.000;1.000;1.000
JRip;Combinatorial[0];Phone sple;27;1;0;996;0.964;1.000;0.982
JRip;Combinatorial[0];Phone sple;27;0;0;997;1.000;1.000;1.000
JRip;Combinatorial[0];Phone sple;27;1;0;996;0.964;1.000;0.982
JRip;Combinatorial[0];Phone sple;27;0;0;997;1.000;1.000;1.000
JRip;Combinatorial[0];Phone sple;27;4;0;993;0.871;1.000;0.931
JRip;Combinatorial[0];Phone sple;27;0;0;997;1.000;1.000;1.000
JRip;Combinatorial[0];Phone sple;27;0;0;997;1.000;1.000;1.000
JRip;Combinatorial[0];Phone sple;27;0;0;997;1.000;1.000;1.000
PART;Combinatorial[0];Phone sple;27;0;0;997;1.000;1.000;1.000
PART;Combinatorial[0];Phone sple;27;0;0;997;1.000;1.000;1.000
PART;Combinatorial[0];Phone sple;27;0;0;997;1.000;1.000;1.000
PART;Combinatorial[0];Phone sple;27;0;0;997;1.000;1.000;1.000
PART;Combinatorial[0];Phone sple;27;5;0;992;0.844;1.000;0.915
PART;Combinatorial[0];Phone sple;27;0;0;997;1.000;1.000;1.000
PART;Combinatorial[0];Phone sple;27;0;0;997;1.000;1.000;1.000
PART;Combinatorial[0];Phone sple;27;5;0;992;0.844;1.000;0.915
PART;Combinatorial[0];Phone sple;27;0;0;997;1.000;1.000;1.000
PART;Combinatorial[0];Phone sple;27;5;0;992;0.844;1.000;0.915
PART;Combinatorial[0];Phone sple;27;0;0;997;1.000;1.000;1.000
Logistic;Combinatorial[0];Disenio;0;0;4;1020;NaN;0.000;NaN
Logistic;Combinatorial[0];Disenio;0;0;4;1020;NaN;0.000;NaN
Logistic;Combinatorial[0];Disenio;0;0;4;1020;NaN;0.000;NaN
Logistic;Combinatorial[0];Disenio;0;0;4;1020;NaN;0.000;NaN
Logistic;Combinatorial[0];Disenio;0;0;4;1020;NaN;0.000;NaN
Logistic;Combinatorial[0];Disenio;0;0;4;1020;NaN;0.000;NaN
Logistic;Combinatorial[0];Disenio;0;0;4;1020;NaN;0.000;NaN
Logistic;Combinatorial[0];Disenio;0;0;4;1020;NaN;0.000;NaN
Logistic;Combinatorial[0];Disenio;0;0;4;1020;NaN;0.000;NaN
Logistic;Combinatorial[0];Disenio;0;0;4;1020;NaN;0.000;NaN
Logistic;Combinatorial[0];Disenio;0;0;4;1020;NaN;0.000;NaN
JRip;Combinatorial[0];Disenio;2;0;2;1020;1.000;0.500;0.667
JRip;Combinatorial[0];Disenio;2;0;2;1020;1.000;0.500;0.667
JRip;Combinatorial[0];Disenio;2;0;2;1020;1.000;0.500;0.667
JRip;Combinatorial[0];Disenio;2;0;2;1020;1.000;0.500;0.667
